2026-03-11 00:15:04.686 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:15:04.689 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration failed — email already exists: [john@example.com]
2026-03-11 00:15:04.697 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change master password request — username: [john_doe]
2026-03-11 00:15:04.699 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change password failed — current password incorrect for username: [john_doe]
2026-03-11 00:15:04.713 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:15:04.716 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration successful — userId: [100], username: [john_doe]
2026-03-11 00:15:04.746 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-11 00:15:04.747 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA required — generating verification code for userId: [100]
2026-03-11 00:15:04.755 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change master password request — username: [john_doe]
2026-03-11 00:15:04.756 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Master password changed successfully — username: [john_doe]
2026-03-11 00:15:04.761 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [ghost]
2026-03-11 00:15:04.761 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login failed — user not found: [ghost]
2026-03-11 00:15:04.769 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:15:04.770 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration successful — userId: [100], username: [john_doe]
2026-03-11 00:15:04.777 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Toggle 2FA request — username: [john_doe], enable: [false]
2026-03-11 00:15:04.780 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA status updated — username: [john_doe], twoFactorEnabled: [false]
2026-03-11 00:15:04.792 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-11 00:15:04.793 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login successful — userId: [100], username: [john_doe]
2026-03-11 00:15:04.801 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-11 00:15:04.802 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login failed — invalid password for username: [john_doe]
2026-03-11 00:15:04.809 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:15:04.810 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration failed — username already exists: [john_doe]
2026-03-11 00:15:04.816 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Toggle 2FA request — username: [john_doe], enable: [true]
2026-03-11 00:15:04.818 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA status updated — username: [john_doe], twoFactorEnabled: [true]
2026-03-11 00:15:05.181 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
